,DATE,TIME,ALARM_STATUS,species,CO2,CO2_dry,CH4,CH4_dry,H2O,CH4_cal,CO2_cal,latitude,longitude,accuracy,altitude,speed
1022,2021-08-15,18:51:33,0.0,2.6666666666666665,418.20336035,428.00411248,2.029453739833333,2.0684389656,1.480488643,2.07633478015184,432.090548669824,53.54726752,9.99175237,10.0,69.8,12.938
1023,2021-08-15,18:51:34,0.0,2.3333333333333335,418.20336035,428.00411248,2.0293709374666666,2.0684389656,1.480488643,2.07633478015184,432.090548669824,53.54727745,9.9919444,10.0,69.7,12.688
1024,2021-08-15,18:51:34.026000,0.0,2.0,418.20336035,428.00411248,2.0292881351,2.0684389656,1.480488643,2.07633478015184,432.090548669824,53.54728006333333,9.992005976666666,10.0,69.63333333333334,12.521333333333335
1025,2021-08-15,18:51:34.947000,0.0,1.0,411.16544282,428.00411248,2.0292881351,2.0684389656,1.480488643,2.07633478015184,432.090548669824,53.54728267666667,9.992067553333333,10.0,69.56666666666666,12.354666666666667
1026,2021-08-15,18:51:35,0.0,2.0,411.16544282,424.39656622999996,2.0292881351,2.0682876985,1.47900306435,2.0761833012779,428.45125601282393,53.54728529,9.99212913,10.0,69.5,12.188
1027,2021-08-15,18:51:35.459000,0.0,3.0,411.16544282,420.78901998,2.0292881351,2.0681364314,1.4775174857,2.07603182240396,424.81196335582393,53.547275375,9.99222351,10.0,69.5,12.344000000000001
1028,2021-08-15,18:51:36,0.0,2.6666666666666665,411.16544282,420.78901998,2.0292294895666667,2.0681364314,1.4775174857,2.07603182240396,424.81196335582393,53.54726546,9.99231789,10.0,69.5,12.5
1029,2021-08-15,18:51:37,0.0,2.3333333333333335,411.16544282,420.78901998,2.029170844033333,2.0681364314,1.4775174857,2.07603182240396,424.81196335582393,53.54725419,9.99250087,10.0,69.5,12.125
1030,2021-08-15,18:51:37.033000,0.0,2.0,411.16544282,420.78901998,2.0291121985,2.0681364314,1.4775174857,2.07603182240396,424.81196335582393,53.547252709999995,9.992557530000001,10.0,69.53333333333333,11.875
1031,2021-08-15,18:51:37.963000,0.0,1.0,405.79508704,420.78901998,2.0291121985,2.0681364314,1.4775174857,2.07603182240396,424.81196335582393,53.54725123,9.99261419,10.0,69.56666666666666,11.625
1032,2021-08-15,18:51:38,0.0,2.0,405.79508704,418.03188834499997,2.0291121985,2.06800956845,1.4762186933499999,2.0759047818458303,422.03056896243595,53.54724975,9.99267085,10.0,69.6,11.375
1033,2021-08-15,18:51:38.473000,0.0,3.0,405.79508704,415.27475671,2.0291121985,2.0678827055,1.474919901,2.0757777412877,419.24917456904797,53.547253229999995,9.9927426,10.0,69.6,10.656500000000001
1034,2021-08-15,18:51:39,0.0,2.6666666666666665,405.79508704,415.27475671,2.0290017857000002,2.0678827055,1.474919901,2.0757777412877,419.24917456904797,53.54725671,9.99281435,10.0,69.6,9.938
1035,2021-08-15,18:51:40,0.0,2.3333333333333335,405.79508704,415.27475671,2.0288913729,2.0678827055,1.474919901,2.0757777412877,419.24917456904797,53.54727846,9.99295827,10.0,71.5,9.5
1036,2021-08-15,18:51:40.026000,0.0,2.0,405.79508704,415.27475671,2.0287809601,2.0678827055,1.474919901,2.0757777412877,419.24917456904797,53.54728262333333,9.992999733333335,10.0,71.7,9.166666666666666
1037,2021-08-15,18:51:40.927000,0.0,1.0,407.28658897,415.27475671,2.0287809601,2.0678827055,1.474919901,2.0757777412877,419.24917456904797,53.54728678666667,9.993041196666667,10.0,71.89999999999999,8.833333333333334
1038,2021-08-15,18:51:41,0.0,2.0,407.28658897,416.034940625,2.0287809601,2.06770175635,1.4753081587999999,2.07559653880889,420.0160481025,53.54729095,9.99308266,10.0,72.1,8.5
1039,2021-08-15,18:51:41.427000,0.0,3.0,407.28658897,416.79512454,2.0287809601,2.0675208072,1.4756964166,2.0754153363300802,420.782921635952,53.54729516,9.99313115,10.0,71.9,7.75
1040,2021-08-15,18:51:42,0.0,2.6666666666666665,407.28658897,416.79512454,2.0291385215,2.0675208072,1.4756964166,2.0754153363300802,420.782921635952,53.54729937,9.99317964,10.0,71.7,7.0
1041,2021-08-15,18:51:43,0.0,2.3333333333333335,407.28658897,416.79512454,2.0294960829,2.0675208072,1.4756964166,2.0754153363300802,420.782921635952,53.54730913,9.99325491,10.0,70.6,5.812
1042,2021-08-15,18:51:43.039000,0.0,2.0,407.28658897,416.79512454,2.0298536443,2.0675208072,1.4756964166,2.0754153363300802,420.782921635952,53.54730280333334,9.993280389999999,10.0,69.73333333333333,5.666333333333333
1043,2021-08-15,18:51:43.953000,0.0,1.0,419.11943046,416.79512454,2.0298536443,2.0675208072,1.4756964166,2.0754153363300802,420.782921635952,53.547296476666666,9.99330587,10.0,68.86666666666666,5.520666666666667
1044,2021-08-15,18:51:44,0.0,2.0,419.11943046,422.85661127000003,2.0298536443,2.0680948638,1.4773632619,2.07599019660932,426.897749449176,53.54729015,9.99333135,10.0,68.0,5.375
1045,2021-08-15,18:51:44.460000,0.0,3.0,419.11943046,428.918098,2.0298536443,2.0686689204,1.4790301072,2.07656505688856,433.01257726239993,53.54728816,9.99336169,10.0,67.1,4.9375
1046,2021-08-15,18:51:45,0.0,2.6666666666666665,419.11943046,428.918098,2.0342245683333333,2.0686689204,1.4790301072,2.07656505688856,433.01257726239993,53.54728617,9.99339203,10.0,66.2,4.5
1047,2021-08-15,18:51:46,0.0,2.3333333333333335,419.11943046,428.918098,2.038595492366667,2.0686689204,1.4790301072,2.07656505688856,433.01257726239993,53.54727896,9.99344786,10.0,64.7,3.875
1048,2021-08-15,18:51:46.026000,0.0,2.0,419.11943046,428.918098,2.0429664164,2.0686689204,1.4790301072,2.07656505688856,433.01257726239993,53.54727717,9.993462556666666,10.0,64.3,3.604
1049,2021-08-15,18:51:46.944000,0.0,1.0,420.36718761,428.918098,2.0429664164,2.0686689204,1.4790301072,2.07656505688856,433.01257726239993,53.54727538,9.993477253333333,10.0,63.9,3.3329999999999997
1050,2021-08-15,18:51:47,0.0,2.0,420.36718761,429.57250588,2.0429664164,2.0754140044,1.48206951675,2.0833195840061602,433.672743931744,53.54727359,9.99349195,10.0,63.5,3.062
1051,2021-08-15,18:51:47.454000,0.0,3.0,420.36718761,430.22691376,2.0429664164,2.0821590884,1.4851089263,2.09007411112376,434.332910601088,53.54727221,9.993509045,10.0,63.0,2.7184999999999997
1052,2021-08-15,18:51:48,0.0,2.6666666666666665,420.36718761,430.22691376,2.041509598466667,2.0821590884,1.4851089263,2.09007411112376,434.332910601088,53.54727083,9.99352614,10.0,62.5,2.375
1053,2021-08-15,18:51:49,0.0,2.3333333333333335,420.36718761,430.22691376,2.0400527805333333,2.0821590884,1.4851089263,2.09007411112376,434.332910601088,53.54727862,9.99355137,10.0,62.3,1.75
1054,2021-08-15,18:51:49.023000,0.0,2.0,420.36718761,430.22691376,2.0385959626,2.0821590884,1.4851089263,2.09007411112376,434.332910601088,53.547280996666665,9.993556763333334,10.0,62.33333333333333,1.5416666666666667
1055,2021-08-15,18:51:49.937000,0.0,1.0,418.66858219,430.22691376,2.0385959626,2.0821590884,1.4851089263,2.09007411112376,434.332910601088,53.547283373333336,9.993562156666666,10.0,62.36666666666667,1.3333333333333333
1056,2021-08-15,18:51:50,0.0,2.0,418.66858219,429.37605586999996,2.0385959626,2.0800050224,1.4875116061,2.0879170294313596,433.47456516165596,53.54728575,9.99356755,10.0,62.4,1.125
1057,2021-08-15,18:51:50.444000,0.0,3.0,418.66858219,428.52519798,2.0385959626,2.0778509564,1.4899142859,2.0857599477389597,432.61621972222395,53.547287069999996,9.99357174,10.0,62.3,0.9065
1058,2021-08-15,18:51:51,0.0,2.5,418.66858219,428.52519798,2.0433041005500003,2.0778509564,1.4899142859,2.0857599477389597,432.61621972222395,53.54728839,9.99357593,10.0,62.2,0.688
1059,2021-08-15,18:51:51.994000,0.0,2.0,418.66858219,428.52519798,2.0480122385,2.0778509564,1.4899142859,2.0857599477389597,432.61621972222395,53.54728839,9.99357593,7.5,62.2,0.5
1060,2021-08-15,18:51:52,0.0,1.5,427.225740165,428.52519798,2.0480122385,2.0778509564,1.4899142859,2.0857599477389597,432.61621972222395,53.54728839,9.99357593,5.0,62.2,0.312
1061,2021-08-15,18:51:52.898000,0.0,1.0,435.78289814,428.52519798,2.0480122385,2.0778509564,1.4899142859,2.0857599477389597,432.61621972222395,53.54728839,9.99357593,7.5,62.2,0.2185
1062,2021-08-15,18:51:53,0.0,2.0,435.78289814,437.299650205,2.0480122385,2.08271057255,1.4920191381,2.09062636735157,441.46788712680393,53.54728839,9.99357593,10.0,62.2,0.125
1063,2021-08-15,18:51:53.400000,0.0,3.0,435.78289814,446.07410243,2.0480122385,2.0875701887,1.4941239903,2.09549278696418,450.3195545313839,53.54728839,9.99357593,10.0,62.2,0.0625
1064,2021-08-15,18:51:54,0.0,2.5,435.78289814,446.07410243,2.04786201535,2.0875701887,1.4941239903,2.09549278696418,450.3195545313839,53.54728839,9.99357593,10.0,62.2,0.0
1065,2021-08-15,18:51:54.959000,0.0,2.0,435.78289814,446.07410243,2.0477117922,2.0875701887,1.4941239903,2.09549278696418,450.3195545313839,53.54728839,9.99357593,10.0,62.2,0.0
1066,2021-08-15,18:51:55,0.0,1.5,434.709847795,446.07410243,2.0477117922,2.0875701887,1.4941239903,2.09549278696418,450.3195545313839,53.54728839,9.99357593,10.0,62.2,0.0
1067,2021-08-15,18:51:55.859000,0.0,1.0,433.63679745,446.07410243,2.0477117922,2.0875701887,1.4941239903,2.09549278696418,450.3195545313839,53.54728839,9.99357593,10.0,62.2,0.0
1068,2021-08-15,18:51:56,0.0,2.0,433.63679745,444.97120180499996,2.0477117922,2.08739966005,1.49072930725,2.09532201957407,449.20694838088394,53.54728839,9.99357593,10.0,62.2,0.0
1069,2021-08-15,18:51:56.365000,0.0,3.0,433.63679745,443.86830118,2.0477117922,2.0872291314,1.4873346242,2.09515125218396,448.094342230384,53.54728839,9.99357593,10.0,62.2,0.0
1070,2021-08-15,18:51:57,0.0,2.5,433.63679745,443.86830118,2.05179651625,2.0872291314,1.4873346242,2.09515125218396,448.094342230384,53.54728839,9.99357593,10.0,62.2,0.0
1071,2021-08-15,18:51:57.937000,0.0,2.0,433.63679745,443.86830118,2.0558812403,2.0872291314,1.4873346242,2.09515125218396,448.094342230384,53.54728839,9.99357593,10.0,62.2,0.0
1072,2021-08-15,18:51:58,0.0,1.5,431.547642575,443.86830118,2.0558812403,2.0872291314,1.4873346242,2.09515125218396,448.094342230384,53.54728839,9.99357593,10.0,62.2,0.0
1073,2021-08-15,18:51:58.848000,0.0,1.0,429.4584877,443.86830118,2.0558812403,2.0872291314,1.4873346242,2.09515125218396,448.094342230384,53.54728839,9.99357593,12.5,62.2,0.0
1074,2021-08-15,18:51:59,0.0,2.0,429.4584877,441.71690301,2.0558812403,2.0913420176999997,1.4869881893499999,2.0992698965247802,445.92401175648797,53.54728839,9.99357593,15.0,62.2,0.0
1075,2021-08-15,18:51:59.355000,0.0,3.0,429.4584877,439.56550484,2.0558812403,2.095454904,1.4866417545,2.1033885408656,443.75368128259197,53.54728839,9.99357593,15.0,62.2,0.0
1076,2021-08-15,18:52:00,0.0,2.5,429.4584877,439.56550484,2.06164125905,2.095454904,1.4866417545,2.1033885408656,443.75368128259197,53.54728839,9.99357593,15.0,62.2,0.0
1077,2021-08-15,18:52:00.921000,0.0,2.0,429.4584877,439.56550484,2.0674012778,2.095454904,1.4866417545,2.1033885408656,443.75368128259197,53.54728839,9.99357593,15.0,62.2,0.0
1078,2021-08-15,18:52:01,0.0,1.5,434.656747905,439.56550484,2.0674012778,2.095454904,1.4866417545,2.1033885408656,443.75368128259197,53.54728839,9.99357593,15.0,62.2,0.0
1079,2021-08-15,18:52:01.835000,0.0,1.0,439.85500811,439.56550484,2.0674012778,2.095454904,1.4866417545,2.1033885408656,443.75368128259197,53.54728839,9.99357593,15.0,62.2,0.0
1080,2021-08-15,18:52:02,0.0,2.0,439.85500811,444.88703687,2.0674012778,2.1013293860999998,1.48725169685,2.10927124724054,449.122042794456,53.54728839,9.99357593,15.0,62.2,0.0
